exec_date,BUY,SELL
2017-01-20,8331.0,9195.0
2017-01-21,11177.0,10277.0
2017-01-22,11715.0,12275.0
2017-01-23,12834.0,14412.0
2017-01-24,11918.0,13850.0
2017-01-25,9679.0,12195.0
2017-01-26,7436.0,8700.0
2017-01-27,9436.0,9820.0
2017-01-28,5507.0,5543.0
2017-01-29,5619.0,5833.0
2017-01-30,5309.0,6154.0
2017-01-31,9893.0,10437.0
2017-02-01,16466.0,18748.0
2017-02-02,17087.0,16419.0
2017-02-03,21955.0,21430.0
2017-02-04,13712.0,13328.0
2017-02-05,10892.0,10663.0
2017-02-06,10776.0,12072.0
2017-02-07,14224.0,13083.0
2017-02-08,17099.0,19409.0
2017-02-09,19747.0,20804.0
2017-02-10,25703.0,25994.0
2017-02-11,16840.0,17965.0
2017-02-12,9464.0,11416.0
2017-02-13,12313.0,13821.0
2017-02-14,13606.0,13331.0
2017-02-15,11204.0,12015.0
2017-02-16,10143.0,10023.0
2017-02-17,14054.0,13428.0
2017-02-18,9277.0,10162.0
2017-02-19,7599.0,7737.0
2017-02-20,10323.0,8542.0
2017-02-21,14482.0,15422.0
2017-02-22,16514.0,15561.0
2017-02-23,14306.0,13132.0
2017-02-24,23578.0,23438.0
2017-02-25,16709.0,15456.0
2017-02-26,16499.0,14568.0
2017-02-27,16401.0,13231.0
2017-02-28,12982.0,11276.0
2017-03-01,9848.0,10343.0
2017-03-02,9186.0,9634.0
2017-03-03,11948.0,9925.0
2017-03-04,5502.0,5849.0
2017-03-05,6056.0,5071.0
2017-03-06,3398.0,3101.0
2017-03-07,5438.0,5463.0
2017-03-08,14920.0,14413.0
2017-03-09,12715.0,10966.0
2017-03-10,8988.0,7421.0
2017-03-11,10407.0,8772.0
2017-03-12,4435.0,3555.0
2017-03-13,6296.0,5472.0
2017-03-14,4714.0,4574.0
2017-03-15,2820.0,2616.0
2017-03-16,6458.0,6589.0
2017-03-17,15458.0,14691.0
2017-03-18,11582.0,11202.0
2017-03-19,13229.0,12131.0
2017-03-20,9041.0,9401.0
2017-03-21,4908.0,7263.0
2017-03-22,8277.0,10470.0
2017-03-23,8044.0,10767.0
2017-03-24,9546.0,10608.0
2017-03-25,14231.0,14307.0
2017-03-26,10844.0,9819.0
2017-03-27,9934.0,10021.0
2017-03-28,5893.0,7938.0
2017-03-29,8823.0,8882.0
2017-03-30,5295.0,5344.0
2017-03-31,4296.0,3857.0
2017-04-01,4097.0,4174.0
2017-04-02,3888.0,3579.0
2017-04-03,4897.0,6808.0
2017-04-04,4319.0,8085.0
2017-04-05,3066.0,7955.0
2017-04-06,5971.0,5206.0
2017-04-07,6289.0,5117.0
2017-04-08,2320.0,4271.0
2017-04-09,2349.0,3091.0
2017-04-10,3965.0,3262.0
2017-04-11,3066.0,5014.0
2017-04-12,4054.0,4739.0
2017-04-13,4946.0,8052.0
2017-04-14,6071.0,6165.0
2017-04-15,4496.0,3898.0
2017-04-16,2481.0,4888.0
2017-04-17,3269.0,3706.0
2017-04-18,4194.0,5194.0
2017-04-19,3867.0,4495.0
2017-04-20,3788.0,3832.0
2017-04-21,4825.0,5000.0
2017-04-22,3938.0,4494.0
2017-04-23,4192.0,3933.0
2017-04-24,3884.0,4224.0
2017-04-25,3138.0,3122.0
2017-04-26,4119.0,4361.0
2017-04-27,5761.0,4253.0
2017-04-28,5997.0,6714.0
2017-04-29,5276.0,4095.0
2017-04-30,1880.0,1800.0
2017-05-01,8289.0,6997.0
2017-05-02,9899.0,10783.0
2017-05-03,5201.0,6020.0
2017-05-04,7336.0,6248.0
2017-05-05,8592.0,9746.0
2017-05-06,4698.0,4406.0
2017-05-07,3009.0,4017.0
2017-05-08,9546.0,8893.0
2017-05-09,10837.0,11502.0
2017-05-10,9314.0,9590.0
2017-05-11,8069.0,8685.0
2017-05-12,9450.0,7495.0
2017-05-13,12822.0,11005.0
2017-05-14,7441.0,6513.0
2017-05-15,8208.0,8643.0
2017-05-16,8134.0,8781.0
2017-05-17,9665.0,8153.0
2017-05-18,9393.0,9706.0
2017-05-19,10397.0,11506.0
2017-05-20,9999.0,9118.0
2017-05-21,13603.0,11079.0
2017-05-22,13788.0,11340.0
2017-05-23,10155.0,10137.0
2017-05-24,10506.0,10042.0
2017-05-25,12352.0,10368.0
2017-05-26,13768.0,12055.0
2017-05-27,17896.0,16863.0
2017-05-28,12945.0,13211.0
2017-05-29,9394.0,11291.0
2017-05-30,8592.0,10332.0
2017-05-31,9378.0,11009.0
2017-06-01,8649.0,9657.0
2017-06-02,10718.0,10672.0
2017-06-03,8387.0,9050.0
2017-06-04,9850.0,8062.0
2017-06-05,9704.0,7394.0
2017-06-06,15884.0,16633.0
2017-06-07,14132.0,13472.0
2017-06-08,15812.0,14643.0
2017-06-09,11461.0,10256.0
2017-06-10,8026.0,7789.0
2017-06-11,8826.0,8250.0
2017-06-12,14538.0,14888.0
2017-06-13,16376.0,17218.0
2017-06-14,11162.0,11407.0
2017-06-15,22913.0,22854.0
2017-06-16,15305.0,15661.0
2017-06-17,11475.0,10667.0
2017-06-18,12455.0,12070.0
2017-06-19,11053.0,10587.0
2017-06-20,6970.0,6042.0
2017-06-21,9623.0,8033.0
2017-06-22,8125.0,6539.0
2017-06-23,5948.0,5461.0
2017-06-24,4189.0,4083.0
2017-06-25,11825.0,10163.0
2017-06-26,8508.0,9192.0
2017-06-27,16261.0,16096.0
2017-06-28,10569.0,9047.0
2017-06-29,9006.0,8424.0
2017-06-30,6468.0,6064.0
2017-07-01,4273.0,7141.0
2017-07-02,8226.0,7912.0
2017-07-03,7870.0,6832.0
2017-07-04,10156.0,7670.0
2017-07-05,7532.0,6282.0
2017-07-06,6276.0,5346.0
2017-07-07,5721.0,5892.0
2017-07-08,5014.0,5927.0
2017-07-09,4560.0,5579.0
2017-07-10,7053.0,7532.0
2017-07-11,12328.0,12658.0
2017-07-12,8811.0,10247.0
2017-07-13,7634.0,8709.0
2017-07-14,8640.0,9530.0
2017-07-15,14440.0,13149.0
2017-07-16,15813.0,13745.0
2017-07-17,14183.0,11861.0
2017-07-18,13437.0,14617.0
2017-07-19,14895.0,15568.0
2017-07-20,15459.0,14613.0
2017-07-21,20237.0,15940.0
2017-07-22,12098.0,10717.0
2017-07-23,10878.0,9439.0
2017-07-24,8128.0,7713.0
2017-07-25,12131.0,11090.0
2017-07-26,14157.0,15918.0
2017-07-27,9876.0,10257.0
2017-07-28,11486.0,12183.0
2017-07-29,6420.0,6586.0
2017-07-30,5188.0,6429.0
2017-07-31,6720.0,6443.0
2017-08-01,15446.0,12920.0
2017-08-02,6790.0,4444.0
2017-08-03,5557.0,4781.0
2017-08-04,6338.0,5921.0
2017-08-05,15409.0,13599.0
2017-08-06,16587.0,15349.0
2017-08-07,12468.0,11203.0
2017-08-08,15881.0,13045.0
2017-08-09,14127.0,10987.0
2017-08-10,8451.0,7697.0
2017-08-11,6746.0,6904.0
2017-08-12,12209.0,11517.0
2017-08-13,21529.0,19189.0
2017-08-14,16299.0,13195.0
2017-08-15,18492.0,18845.0
2017-08-16,15200.0,14191.0
2017-08-17,14252.0,14286.0
2017-08-18,12826.0,11594.0
2017-08-19,15665.0,16847.0
2017-08-20,9292.0,10614.0
2017-08-21,10081.0,11635.0
2017-08-22,16157.0,17440.0
2017-08-23,14620.0,14836.0
2017-08-24,11766.0,11670.0
2017-08-25,11929.0,10520.0
2017-08-26,8688.0,9451.0
2017-08-27,5745.0,4770.0
2017-08-28,8332.0,8790.0
2017-08-29,9062.0,6684.0
2017-08-30,12570.0,13102.0
2017-08-31,12036.0,10432.0
2017-09-01,13231.0,10434.0
2017-09-02,20365.0,17137.0
2017-09-03,20197.0,14801.0
2017-09-04,16882.0,14190.0
2017-09-05,26555.0,22135.0
2017-09-06,17516.0,13224.0
2017-09-07,12197.0,8439.0
2017-09-08,8716.0,7262.0
2017-09-09,19620.0,16081.0
2017-09-10,13775.0,11650.0
2017-09-11,12832.0,9116.0
2017-09-12,11044.0,8564.0
2017-09-13,19631.0,15144.0
2017-09-14,15053.0,13073.0
2017-09-15,26622.0,22040.0
